movie_name,count
shor se shuruaat,2
and jara hatke,1
Kavan,24
The Space Between Us,3
central intelligence,1
Thodi Thodi Si Manmaaniyan,2
startrek beyond,4
Babu Baga Busy,3
Behen Hogi Teri,15
Guardians Of The Galaxy Vol. 2,90
Bishorjon,3
dangal yuddham,69
don't breathe,163
Bogan,3
Jagga Jasoos,46
double feluda,71
zhala bobhata,11
benche thakar gaan,3
parched,18
the light between oceans,1
inkokkadu,162
dhuruvangal pathinaaru,45
Mad For Each Other,1
Mandobasar Galpo,1
Spider-Man: Homecoming,52
Jackie,1
abhinetri,140
mechanic resurrection,4
King Arthur : Legend Of The Sword,12
swarnakkaduva,7
coffee with d,15
wah taj,2
kirik party,199
the accountant,201
days of tafree,29
Mubarakan,26
Chowka,12
Bank Chor,6
Chitrangada,3
saat uchakkey,31
wrong side raju,41
war dogs,1
John Wick 2,183
jayammu nischayammu raa,118
Fukri,12
udta punjab,5
kuttikal undu sookshikuka,1
ben-hur,1
the magnificent seven,75
tuu toh gayo,3
Patriots Day,7
Jomonte Suviseshangal,3
rama rama re,17
neer dose,18
Bruce Lee,1
Guardians The Superheroes,25
Alien : Covenant,19
bhetaludu,380
dodamane hudga,3
Rogue,3
Andaz Apna Apna,1
Hind Ka Napak Ko Jawab-Msg-Lion Heart-2,1006
fantastic beasts,5
Rakshadhikari Baiju - Oppu,8
the great wall,117
meenkuzhambbum manpaanayum,2
motu patlu - king of kings,40
Before I Fall,1
Srinivasa Kalyana,2
trolls,52
Transformers: The Last Knight,14
pushpaka vimana,18
mo,1
Jab We Met,8
Vekh Baraatan Challiyan,1
Duniyadari,13
Karsandas Pay And Use,22
siddhartha,4
jason bourne,1
a flying jatt,5
edvolle ramayana,6
Udta Punjab,9
Bangara S/O Bangaradha Manushya,5
tum bin 2,247
Hindi Medium,266
Jattu Engineer,1
Kittu Unnadu Jagratha,49
Raajakumara,78
The Circle,2
srirastu subhamastu,2
Dobaara: See Your Evil,6
rogue one: a star wars story,1119
santhu straight forward,24
andaz apna apna,3
nataraja service,23
rail,27
Beauty And The Beast,499
freaky ali,119
8 Thottakkal,11
dhruva,2088
Sachin: A Billion Dreams,207
Last Chance,1
nee jatha leka,1
Superstar,3
majaz,1
Black Coffee,1
Central Intelligence,1
kahaani 2,3582
saansein the last breath,2
ice age: collision course,5
luckkunnodu,10
Fodi Laishu Yaar,1
Kong: Skull Island,430
colkatay columbus,3
A Last Conjuring,1
maveeran kittu,7
Phillauri,414
zootopia,1
saithan,77
chowka,6
desierto,3
Melukote Manja,2
ti saddhya kay karte,1010
kodi,26
Split,95
The Mummy,84
haraamkhor,61
aanandam,42
Andya Cha Funda,1
Aftermath,1
oru muthassi gadha,8
10 kalpanakal,3
Ekk Albela,1
Katamarayudu,201
a monster calls,5
Kaatru Veliyidai,39
jomonte suviseshangal,21
Duvvada Jagannadham,13
majnu,554
kaul - a calling,11
Georgettans Pooram,12
